Symbol,Company Name,Security Type,Security Price,Market Capitalization,Revenue (TTM),Sector,Industry,Sub-Industry,Company Headquarters Location
BRK/A,Berkshire Hathaway Inc,Common Stock,267954,--,327223,Financials,Diversified Financial Services,Multi-Sector Holdings,United States of America
BRK/B,Berkshire Hathaway Inc,Common Stock,178.34,$438.08B,327223,Financials,Diversified Financial Services,Multi-Sector Holdings,United States of America
AMZN,Amazon.com Inc,Common Stock,1906.59,$955.58B,280522,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,United States of America
AAPL,Apple Inc,Common Stock,241.41,$1.07T,267683,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",United States of America
CVS,CVS Health Corp,Common Stock,55.72,$72.14B,256776,Health Care,Health Care Providers & Services,Health Care Services,United States of America
XOM,Exxon Mobil Corp,Common Stock,39.21,$171.05B,255583,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,United States of America
UNH,Unitedhealth Group Inc,Common Stock,229.49,$227.94B,242155,Health Care,Health Care Providers & Services,Managed Health Care,United States of America
MCK,McKesson Corp,Common Stock,125.49,$22.86B,224945,Health Care,Health Care Providers & Services,Health Care Distributors,United States of America
ABC,AmerisourceBergen Corp,Common Stock,81.34,$17.26B,182061.411,Health Care,Health Care Providers & Services,Health Care Distributors,United States of America
T,AT&T Inc,Common Stock,27.46,$208.64B,181265,Communication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,United States of America
GOOGL,Alphabet Inc,Common Stock,1092.69,$768.89B,161857,Communication Services,Interactive Media & Services,Interactive Media & Services,United States of America
GOOG,Alphabet Inc,Common Stock,1097.88,$771.51B,161857,Communication Services,Interactive Media & Services,Interactive Media & Services,United States of America
COST,Costco Wholesale Corp,Common Stock,288.65,$128.72B,158350,Consumer Staples,Food & Staples Retailing,Hypermarkets & Super Centers,United States of America
F,Ford Motor Co,Common Stock,4.24,$17.29B,155900,Consumer Discretionary,Automobiles,Automobile Manufacturers,United States of America
CI,Cigna Corp,Common Stock,163.84,$62.89B,153699,Health Care,Health Care Providers & Services,Health Care Services,United States of America
CAH,Cardinal Health Inc,Common Stock,46.61,$13.55B,149657,Health Care,Health Care Providers & Services,Health Care Distributors,United States of America
JPM,JPMorgan Chase & Co,Common Stock,84.05,$269.88B,142422,Financials,Banks,Diversified Banks,United States of America
CVX,Chevron Corp,Common Stock,75.11,$143.27B,139865,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,United States of America
WBA,Walgreens Boots Alliance Inc,Common Stock,40.72,$35.81B,138705,Consumer Staples,Food & Staples Retailing,Drug Retail,United States of America
GM,General Motors Co,Common Stock,18.04,$25.47B,137237,Consumer Discretionary,Automobiles,Automobile Manufacturers,United States of America
MSFT,Microsoft Corp,Common Stock,153.83,$1.18T,134249,Information Technology,Software,Systems Software,United States of America
VZ,Verizon Communications Inc,Common Stock,54.7,$228.50B,131868,Communication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,United States of America
MPC,Marathon Petroleum Corp,Common Stock,20.06,$13.77B,123949,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,United States of America
FNMA,Federal National Mortgage Association,Common Stock,1.4,$8.41B,122518,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,United States of America
KR,Kroger Co. (The),Common Stock,32.29,$24.90B,122286,Consumer Staples,Food & Staples Retailing,Food Retail,United States of America
BAC,Bank of America Corp,Common Stock,20.03,$181.76B,113589,Financials,Banks,Diversified Banks,United States of America
HD,Home Depot Inc. (The),Common Stock,178.7,$195.27B,110225,Consumer Discretionary,Specialty Retail,Home Improvement Retail,United States of America
CMCSA,Comcast Corp,Common Stock,33.95,$156.49B,108942,Communication Services,Media,Cable & Satellite,United States of America
PSX,Phillips 66,Common Stock,51.62,$22.81B,107293,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,United States of America
ANTM,Anthem Inc,Common Stock,203.3,$53.47B,104213,Health Care,Health Care Providers & Services,Managed Health Care,United States of America
C,Citigroup Inc,Common Stock,37.49,$82.94B,103449,Financials,Banks,Diversified Banks,United States of America
VLO,Valero Energy Corp,Common Stock,40.34,$16.99B,102729,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,United States of America
WFC,Wells Fargo & Co,Common Stock,26.23,$112.54B,102453,Financials,Banks,Diversified Banks,United States of America
GE,General Electric Co,Common Stock,6.73,$60.30B,95214,Industrials,Industrial Conglomerates,Industrial Conglomerates,United States of America
DELL,Dell Technologies Inc,Common Stock,36.44,$27.08B,92154,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",United States of America
BA,Boeing Co,Common Stock,124.52,$69.39B,84818,Industrials,Aerospace & Defense,Aerospace & Defense,United States of America
JNJ,Johnson & Johnson,Common Stock,134.17,$350.52B,82059,Health Care,Pharmaceuticals,Pharmaceuticals,United States of America
TGT,Target Corp,Common Stock,92.57,$47.58B,78112,Consumer Discretionary,Multiline Retail,General Merchandise Stores,United States of America
IBM,International Business Machines Corp,Common Stock,106.34,$97.58B,77147,Information Technology,IT Services,IT Consulting & Other Services,United States of America
UTX,United Technologies Corp,Common Stock,86.01,$74.34B,77046,Industrials,Aerospace & Defense,Aerospace & Defense,United States of America
DIS,Walt Disney Co (The),Common Stock,93.88,$173.19B,75125,Communication Services,Entertainment,Movies & Entertainment,United States of America
FMCC,Freddie Mac,Common Stock,1.29,$4.23B,74924,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,United States of America
CNC,Centene Corp,Common Stock,54.6,$23.39B,74639,Health Care,Health Care Providers & Services,Managed Health Care,United States of America
UPS,United Parcel Service Inc,Common Stock,90,$79.70B,74094,Industrials,Air Freight & Logistics,Air Freight & Logistics,United States of America
LOW,Lowe's Cos Inc,Common Stock,82.2,$63.22B,72148,Consumer Discretionary,Specialty Retail,Home Improvement Retail,United States of America
INTC,Intel Corp,Common Stock,54.13,$233.16B,71965,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,United States of America
FB,Facebook Inc,Common Stock,154.18,$451.16B,70697,Communication Services,Interactive Media & Services,Interactive Media & Services,United States of America
MET,Metlife Inc.,Common Stock,27.72,$25.68B,69744,Financials,Insurance,Life & Health Insurance,United States of America
FDX,FedEx Corp.,Common Stock,109.22,$30.47B,69666,Industrials,Air Freight & Logistics,Air Freight & Logistics,United States of America
PG,Procter & Gamble Co (The),Common Stock,115.08,$282.51B,69594,Consumer Staples,Household Products,Household Products,United States of America
PEP,PepsiCo Inc,Common Stock,124.59,$172.29B,67161,Consumer Staples,Beverages,Soft Drinks,United States of America
HUM,Humana Inc.,Common Stock,291.63,$39.65B,64888,Health Care,Health Care Providers & Services,Managed Health Care,United States of America
PRU,Prudential Financial Inc,Common Stock,46.09,$18.60B,64845,Financials,Insurance,Life & Health Insurance,United States of America
ADM,Archer-Daniels-Midland Co,Common Stock,34.65,$19.12B,64656,Consumer Staples,Food Products,Agricultural Products,United States of America
SYY,Sysco Corporation,Common Stock,39.5,$21.01B,60460.983,Consumer Staples,Food & Staples Retailing,Food Distributors,United States of America
LMT,Lockheed Martin Corp,Common Stock,350.5,$99.11B,59812,Industrials,Aerospace & Defense,Aerospace & Defense,United States of America
HPQ,HP Inc,Common Stock,14.48,$22.20B,58664,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",United States of America
ET,Energy Transfer LP,Unit Trust Fund,5.47,$14.04B,54213,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,United States of America
GS,Goldman Sachs Group Inc (The),Common Stock,146.93,$54.24B,53922,Financials,Capital Markets,Investment Banking & Brokerage,United States of America
MS,Morgan Stanley,Common Stock,33.85,$54.04B,53823,Financials,Capital Markets,Investment Banking & Brokerage,United States of America
CAT,Caterpillar Inc,Common Stock,114.67,$64.22B,53800,Industrials,Machinery,Construction Machinery & Heavy Trucks,United States of America
PFE,Pfizer Inc,Common Stock,33.64,$181.90B,51750,Health Care,Pharmaceuticals,Pharmaceuticals,United States of America
CSCO,Cisco Systems Inc,Common Stock,39.06,$168.79B,51550,Information Technology,Communications Equipment,Communications Equipment,United States of America
HCA,HCA Healthcare Inc,Common Stock,81.83,$28.40B,51336,Health Care,Health Care Providers & Services,Health Care Facilities,United States of America
AIG,American International Group Inc,Common Stock,20.46,$18.49B,49310,Financials,Insurance,Multi-line Insurance,United States of America
AXP,American Express Co,Common Stock,73.6,$62.09B,47020,Financials,Consumer Finance,Consumer Finance,United States of America
DAL,Delta Air Lines Inc,Common Stock,22.48,$14.58B,47007,Industrials,Airlines,Airlines,United States of America
MRK,Merck & Co Inc.,Common Stock,76.25,$195.17B,46840,Health Care,Pharmaceuticals,Pharmaceuticals,United States of America
AAL,American Airlines Group Inc,Common Stock,9.39,$4.31B,45768,Industrials,Airlines,Airlines,United States of America
CHTR,Charter Communications Inc,Common Stock,434.06,$91.48B,45764,Communication Services,Media,Cable & Satellite,United States of America
TMUS,T-Mobile US Inc,Common Stock,81.91,$72.33B,44998,Communication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,United States of America
ALL,Allstate Corp (The),Common Stock,85.96,$27.35B,44675,Financials,Insurance,Property & Casualty Insurance,United States of America
BBY,Best Buy Co Inc,Common Stock,53.48,$13.53B,43638,Consumer Discretionary,Specialty Retail,Computer & Electronics Retail,United States of America
UAL,United Airlines Holdings Inc,Common Stock,22.885,$5.88B,43259,Industrials,Airlines,Airlines,United States of America
TSN,Tyson Foods Inc.,Common Stock,53.82,$19.76B,43027,Consumer Staples,Food Products,Packaged Foods & Meats,United States of America
DOW,Dow Inc,Common Stock,27.97,$20.78B,42951,Materials,Chemicals,Commodity Chemicals,United States of America
TJX,TJX Companies Inc (The),Common Stock,40.96,$52.51B,41716.977,Consumer Discretionary,Specialty Retail,Apparel Retail,United States of America
NKE,Nike Inc,Common Stock,78.86,$124.94B,41274,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Footwear,United States of America
BG,Bunge Ltd,Common Stock,37.17,$5.54B,41140,Consumer Staples,Food Products,Agricultural Products,United States of America
ORCL,Oracle Corp,Common Stock,49.4,$157.42B,39766,Information Technology,Software,Systems Software,United States of America
GD,General Dynamics Corp,Common Stock,125.68,$37.05B,39350,Industrials,Aerospace & Defense,Aerospace & Defense,United States of America
PGR,Progressive Corp (The),Common Stock,75.94,$44.76B,38997.7,Financials,Insurance,Property & Casualty Insurance,United States of America
DE,Deere & Co,Common Stock,135.52,$43.71B,38905.4,Industrials,Machinery,Agricultural & Farm Machinery,United States of America
INTL,INTL FCStone Inc,Common Stock,33.34,$667.38M,37589.8,Financials,Capital Markets,Investment Banking & Brokerage,United States of America
KO,Coca-Cola Co (The),Common Stock,43.83,$188.11B,37266,Consumer Staples,Beverages,Soft Drinks,United States of America
TECD,Tech Data Corp,Common Stock,132.78,$4.66B,36998.421,Information Technology,"Electronic Equipment, Instruments & Components",Technology Distributors,United States of America
INT,World Fuel Services Corp,Common Stock,22.58,$1.46B,36819,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,United States of America
HON,Honeywell International Inc,Common Stock,127.45,$94.44B,36709,Industrials,Industrial Conglomerates,Industrial Conglomerates,United States of America
LYB,LyondellBasell Industries NV,Common Stock,46.1,$15.31B,34727,Materials,Chemicals,Commodity Chemicals,United States of America
EXC,Exelon Corp,Common Stock,32.75,$33.73B,34438,Utilities,Electric Utilities,Electric Utilities,United States of America
COF,Capital One Financial Corp.,Common Stock,42.27,$20.06B,33907,Financials,Consumer Finance,Consumer Finance,United States of America
NOC,Northrop Grumman Corp,Common Stock,313.61,$52.75B,33841,Industrials,Aerospace & Defense,Aerospace & Defense,United States of America
PAA,Plains All American Pipeline LP,Unit Trust Fund,5.19,$3.79B,33669,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,United States of America
PAGP,Plains GP Holdings LP,Common Stock,5.67,$1.00B,33669,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,United States of America
ABBV,AbbVie Inc,Common Stock,73.37,$111.11B,33266,Health Care,Biotechnology,Biotechnology,United States of America
SLB,Schlumberger Ltd,Common Stock,14.29,$19.22B,32917,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,United States of America
EPD,Enterprise Products Partners LP,Unit Trust Fund,14.43,$31.55B,32789.2,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,United States of America
COP,Conocophillips,Common Stock,32.91,$36.73B,32567,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,United States of America
MMM,3M Co,Common Stock,133.79,$79.32B,32136,Industrials,Industrial Conglomerates,Industrial Conglomerates,United States of America
ABT,Abbott Laboratories,Common Stock,79.45,$140.01B,31904,Health Care,Health Care Equipment & Supplies,Health Care Equipment,United States of America
TRV,Travelers Companies Inc (The),Common Stock,93.89,$24.83B,31581,Financials,Insurance,Property & Casualty Insurance,United States of America
PM,Philip Morris International Inc,Common Stock,73.46,$115.67B,29805,Consumer Staples,Tobacco,Tobacco,United States of America
RTN,Raytheon Co.,Common Stock,116.96,$32.56B,29176,Industrials,Aerospace & Defense,Aerospace & Defense,United States of America
ARW,Arrow Electronics Inc,Common Stock,50.68,$4.12B,28916.847,Information Technology,"Electronic Equipment, Instruments & Components",Technology Distributors,United States of America
HPE,Hewlett Packard Enterprise Co,Common Stock,9.3,$12.13B,28531,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",United States of America
VIAC,ViacomCBS Inc,Common Stock,12.42,$7.85B,27812,Communication Services,Media,Broadcasting,United States of America
VIACA,ViacomCBS Inc,Common Stock,16.16,$10.37B,27812,Communication Services,Media,Broadcasting,United States of America
DG,Dollar General Corporation,Common Stock,162.2,$40.23B,27753.973,Consumer Discretionary,Multiline Retail,General Merchandise Stores,United States of America
USB,U.S. Bancorp,Common Stock,31.19,$50.12B,27325,Financials,Banks,Diversified Banks,United States of America
SBUX,Starbucks Corp,Common Stock,63.05,$76.34B,26973,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,United States of America
JBL,Jabil Inc,Common Stock,22.39,$3.46B,26339.836,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,United States of America
BMY,Bristol-Myers Squibb Co,Common Stock,55.53,$124.28B,26145,Health Care,Pharmaceuticals,Pharmaceuticals,United States of America
USFD,US Foods Holding Corp,Common Stock,14.06,$3.33B,25939,Consumer Staples,Food & Staples Retailing,Food Distributors,United States of America
MDLZ,Mondelez International Inc,Common Stock,50.79,$72.30B,25868,Consumer Staples,Food Products,Packaged Foods & Meats,United States of America
PCAR,PACCAR Inc,Common Stock,61.58,$21.08B,25599.7,Industrials,Machinery,Construction Machinery & Heavy Trucks,United States of America
TMO,Thermo Fisher Scientific Inc,Common Stock,282.21,$114.66B,25542,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,United States of America
M,Macy's Inc,Common Stock,4.81,$1.38B,25331,Consumer Discretionary,Multiline Retail,Department Stores,United States of America
DUK,Duke Energy Corp,Common Stock,76.02,$58.19B,25079,Utilities,Electric Utilities,Electric Utilities,United States of America
KHC,The Kraft Heinz Co,Common Stock,25.32,$30.09B,24977,Consumer Staples,Food Products,Packaged Foods & Meats,United States of America
TSLA,Tesla Inc,Common Stock,480.01,$82.26B,24578,Consumer Discretionary,Automobiles,Automobile Manufacturers,United States of America
UNFI,United Natural Foods Inc,Common Stock,9.29,$474.54M,24526.895,Consumer Staples,Food & Staples Retailing,Food Distributors,United States of America
PBF,PBF Energy Inc,Common Stock,5.76,$705.65M,24508.2,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,United States of America
CBRE,CBRE Group Inc,Common Stock,35.5,$12.28B,23894.091,Real Estate,Real Estate Management & Development,Real Estate Services,United States of America
BKR,Baker Hughes a GE Co,Common Stock,10.4,$6.73B,23838,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,United States of America
SNX,SYNNEX Corp,Common Stock,67.63,$3.69B,23772.037,Information Technology,"Electronic Equipment, Instruments & Components",Technology Distributors,United States of America
DLTR,Dollar Tree Inc,Common Stock,70.24,$16.68B,23610.8,Consumer Discretionary,Multiline Retail,General Merchandise Stores,United States of America
CMI,Cummins Inc.,Common Stock,132.27,$19.98B,23571,Industrials,Machinery,Construction Machinery & Heavy Trucks,United States of America
V,Visa Inc,Common Stock,151.85,$338.55B,23525,Information Technology,IT Services,Data Processing & Outsourced Services,United States of America
AMGN,Amgen Inc,Common Stock,205.41,$123.53B,23362,Health Care,Biotechnology,Biotechnology,United States of America
PAG,Penske Automotive Group Inc,Common Stock,23.03,$1.99B,23179.4,Consumer Discretionary,Specialty Retail,Automotive Retail,United States of America
PFGC,Performance Food Group Co,Common Stock,21.72,$2.40B,22899.7,Consumer Staples,Food & Staples Retailing,Food Distributors,United States of America
LEN,Lennar Corp,Common Stock,33.39,$10.56B,22896.816,Consumer Discretionary,Household Durables,Homebuilding,United States of America
LEN/B,Lennar Corp,Common Stock,25,$7.97B,22896.816,Consumer Discretionary,Household Durables,Homebuilding,United States of America
AVGO,Broadcom Inc,Common Stock,234.26,$94.59B,22666,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,United States of America
NUE,Nucor Corp,Common Stock,35.65,$10.85B,22588.858,Materials,Metals & Mining,Steel,United States of America
GILD,Gilead Sciences Inc,Common Stock,78.21,$97.46B,22449,Health Care,Biotechnology,Biotechnology,United States of America
LUV,Southwest Airlines Co.,Common Stock,30.54,$16.35B,22428,Industrials,Airlines,Airlines,United States of America
HAL,Halliburton Co,Common Stock,7.61,$6.60B,22408,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,United States of America
CTL,CenturyLink Inc,Common Stock,9.11,$9.59B,22401,Communication Services,Diversified Telecommunication Services,Alternative Carriers,United States of America
IP,International Paper Co,Common Stock,29.37,$11.95B,22376,Materials,Containers & Packaging,Paper Packaging,United States of America
AFL,AFLAC Inc,Common Stock,32.41,$23.13B,22369,Financials,Insurance,Life & Health Insurance,United States of America
LLY,Eli Lilly and Co,Common Stock,139.66,$129.03B,22319.5,Health Care,Pharmaceuticals,Pharmaceuticals,United States of America
UNP,Union Pacific Corp,Common Stock,138.57,$98.14B,21708,Industrials,Road & Rail,Railroads,United States of America
PNC,The PNC Financial Services Group Inc,Common Stock,85.19,$39.29B,21624,Financials,Banks,Regional Banks,United States of America
RAD,Rite Aid Corp.,Common Stock,11.45,$664.38M,21580.796,Consumer Staples,Food & Staples Retailing,Drug Retail,United States of America
DD,DuPont  De Nemours Inc,Common Stock,31.87,$24.01B,21512,Materials,Chemicals,Specialty Chemicals,United States of America
KMX,CarMax Inc,Common Stock,48.6,$8.19B,21424.117,Consumer Discretionary,Specialty Retail,Automotive Retail,United States of America
SO,Southern Co (The),Common Stock,50.27,$55.18B,21419,Utilities,Electric Utilities,Electric Utilities,United States of America
SOLN,Southern Co (The),Unit Trust Fund,43.23,$47.09B,21419,Utilities,Electric Utilities,Electric Utilities,United States of America
AN,AutoNation Inc,Common Stock,24.59,$2.25B,21335.7,Consumer Discretionary,Specialty Retail,Automotive Retail,United States of America
MCD,McDonald's Corp,Common Stock,160.33,$120.53B,21076.5,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,United States of America
MAR,Marriott International Inc,Common Stock,59.08,$20.41B,20972,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",United States of America
CCL,Carnival Corporation & Plc,Common Stock,8.49,$5.45B,20952,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",United States of America
CUK,Carnival Corporation & Plc,Depository Receipt,7.93,$5.13B,20952,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",United States of America
MAN,ManpowerGroup Inc,Common Stock,55.36,$3.26B,20863.5,Industrials,Professional Services,Human Resource & Employment Services,United States of America
HIG,Hartford Financial Services Group Inc. (The),Common Stock,32.15,$11.96B,20480,Financials,Insurance,Multi-line Insurance,United States of America
WHR,Whirlpool Corp,Common Stock,82.64,$5.13B,20419,Consumer Discretionary,Household Durables,Household Appliances,United States of America
OXY,Occidental Petroleum Corp,Common Stock,13,$11.42B,20393,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,United States of America
NFLX,Netflix Inc,Common Stock,361.76,$162.39B,20156.447,Communication Services,Entertainment,Movies & Entertainment,United States of America
DXC,DXC Technology Co,Common Stock,11.67,$3.17B,20042,Information Technology,IT Services,IT Consulting & Other Services,United States of America
BK,Bank of New York Mellon Corp (The),Common Stock,33.75,$30.30B,20007,Financials,Capital Markets,Asset Management & Custody Banks,United States of America
KSS,Kohl's Corp,Common Stock,11.51,$1.83B,19974,Consumer Discretionary,Multiline Retail,Department Stores,United States of America
LEA,Lear Corp,Common Stock,72.58,$4.36B,19810.3,Consumer Discretionary,Auto Components,Auto Parts & Equipment,United States of America
MO,Altria Group Inc,Common Stock,37.41,$67.30B,19796,Consumer Staples,Tobacco,Tobacco,United States of America
QCOM,QUALCOMM Inc.,Common Stock,65.23,$77.75B,19785,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,United States of America
